Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team
21,Xavier Moon,28,4,0,5,0.8,2.3,0.333,0.3,0.8,0.333,0.5,1.5,0.333,0.389,0,0,NA,0,0.8,0.8,1.3,0,0,0.3,0.5,1.8,LAC
1,LeBron James,38,55,54,35.5,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,0.549,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,LAL
2,Anthony Davis,29,56,54,34,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,0.573,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2,2.2,2.6,25.9,LAL
3,D'Angelo Russell,26,17,17,30.9,6.3,13,0.484,2.7,6.5,0.414,3.6,6.5,0.555,0.588,2.1,2.9,0.735,0.4,2.5,2.9,6.1,0.6,0.5,2.3,1.4,17.4,LAL
4,Dennis Schröder,29,66,50,30.1,4.1,9.8,0.415,1.1,3.4,0.329,3,6.4,0.461,0.472,3.3,3.8,0.857,0.3,2.2,2.5,4.5,0.8,0.2,1.7,2.2,12.6,LAL
5,Austin Reaves,24,64,22,28.8,4,7.7,0.529,1.3,3.4,0.398,2.7,4.3,0.631,0.616,3.6,4.1,0.864,0.5,2.5,3,3.4,0.5,0.3,1.5,1.7,13,LAL
6,Russell Westbrook,34,52,3,28.7,5.8,14,0.417,1.2,4.1,0.296,4.6,9.9,0.467,0.46,3,4.6,0.655,1.1,5,6.2,7.5,1,0.4,3.5,2.3,15.9,LAL
7,Patrick Beverley,34,45,45,26.9,2.2,5.4,0.402,1.2,3.5,0.348,0.9,1.8,0.506,0.517,0.9,1.1,0.78,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4,LAL
8,Troy Brown Jr.,23,76,45,24.5,2.6,6.1,0.43,1.4,3.7,0.381,1.2,2.4,0.505,0.545,0.4,0.5,0.872,0.8,3.2,4.1,1.3,0.8,0.2,0.6,1.6,7.1,LAL
9,Jarred Vanderbilt,23,26,24,24,2.8,5.4,0.529,0.4,1.3,0.303,2.5,4.1,0.598,0.564,1.1,1.4,0.784,1.9,4.8,6.7,1.6,1.2,0.2,1.1,2.2,7.2,LAL
10,Malik Beasley,26,26,14,23.9,4,10.3,0.392,2.5,7.2,0.353,1.5,3.1,0.481,0.515,0.5,0.8,0.619,0.3,3,3.3,1.2,0.8,0,1.2,1.2,11.1,LAL
11,Lonnie Walker IV,24,56,32,23.2,4.2,9.4,0.448,1.6,4.4,0.365,2.6,5,0.522,0.534,1.6,1.9,0.858,0.3,1.7,1.9,1.1,0.5,0.3,0.8,1.3,11.7,LAL
12,Rui Hachimura,24,33,9,22.4,3.8,7.9,0.485,0.6,2.2,0.296,3.2,5.7,0.556,0.525,1.3,1.8,0.721,1,3.7,4.7,0.7,0.2,0.4,0.5,1,9.6,LAL
